time_ms,voltage_mv
0.0,-65.0
0.1,-64.87531197981706
0.2,-64.75124584372918
0.30000000000000004,-64.62779849007654
0.4,-64.50496683266887
0.5,-64.38274780070829
0.6000000000000001,-64.2611383387127
0.7,-64.14013540643914
0.8,-64.01973597880806
0.9,-63.89993704582747
1.0,-63.780735612517816
1.1,-63.66212869883705
1.2000000000000002,-63.54411333960616
1.3,-63.42668658443504
1.4,-63.309845497648645
1.5,-63.19358715821377
1.6,-63.07790865966584
1.7000000000000002,-62.96280711003638
1.8,-62.848279631780635
1.9,-62.7343233617057
2.0,-62.620935450898905
2.1,-62.50811306465656
2.2,-62.39585338241312
2.3,-62.284153597670695
2.4000000000000004,-62.17301091792885
2.5,-62.0624225646148
2.6,-61.952385773013944
2.7,-61.84289779220077
2.8,-61.73395588497005
2.9000000000000004,-61.62555732776844
3.0,-61.517699410626356
3.1,-61.41037943709025
3.2,-61.30359472415519
3.3,-61.1973426021978
3.4000000000000004,-61.09162041490949
3.5,-60.98642551923008
3.6,-60.881755285281706
3.7,-60.77760709630304
3.8,-60.673978348583965
3.9000000000000004,-60.57086645140036
4.0,-60.46826882694944
4.1000000000000005,-60.36618291028526
4.2,-60.26460614925457
4.3,-60.16353600443307
4.4,-60.06296994906186
4.5,-59.96290546898432
4.6,-59.86334006258324
4.7,-59.76427124071828
4.800000000000001,-59.66569652666372
4.8999999999999995,-59.567613456046594
5.0,-59.470019576785006
5.1000000000000005,-59.372912449026906
5.2,-59.27628964508904
5.3,-59.180148749396274
5.4,-59.084487358421214
5.5,-58.9893030806241
5.6,-58.89459353639302
5.7,-58.80035635798445
5.800000000000001,-58.70658918946402
5.8999999999999995,-58.61328968664762
6.0,-58.520455517042826
6.1000000000000005,-58.428084359790574
6.2,-58.33617390560711
6.3,-58.2447218567263
6.4,-58.15372592684216
6.5,-58.06318384105168
6.6,-57.97309333579803
6.7,-57.883452158813874
6.800000000000001,-57.794258069065116
6.9,-57.70550883669487
7.0,-57.6172022429677
7.1000000000000005,-57.52933608021417
7.2,-57.44190815177564
7.3,-57.354916271949335
7.4,-57.26835826593373
7.5,-57.18223196977417
7.6,-57.09653523030876
7.7,-57.011265905114556
7.800000000000001,-56.92642186245398
7.9,-56.84200098122155
8.0,-56.75800115089084
8.1,-56.67442027146171
8.200000000000001,-56.59125625340784
8.3,-56.50850701762443
8.4,-56.42617049537627
8.5,-56.34424462824603
8.6,-56.262727368082764
8.700000000000001,-56.18161667695071
8.8,-56.10091052707838
8.9,-56.02060690080781
9.0,-55.94070379054418
9.1,-55.86119919870555
9.2,-55.78209113767299
9.3,-55.70337762974087
9.4,-55.625056707067365
9.5,-55.54712641162535
9.600000000000001,-55.46958479515336
9.7,-55.39242991910697
