current_pa,dt_ms,rate_hz,analytic_hz
0,0.1,0.0,0.0
100,0.1,0.0,0.0
140,0.1,0.0,0.0
160,0.1,17.333333333333332,17.405902770868845
200,0.1,34.0,33.64071163018212
250,0.1,49.333333333333336,49.19852010043853
300,0.1,63.333333333333336,63.040002190641395
0,0.05,0.0,0.0
100,0.05,0.0,0.0
140,0.05,0.0,0.0
160,0.05,17.333333333333332,17.405902770868845
200,0.05,34.0,33.64071163018212
250,0.05,49.333333333333336,49.19852010043853
300,0.05,63.333333333333336,63.040002190641395
