time_s,E_uM,S_uM,ES_uM,P_uM,P_reduced_uM
0.0,20.0,100.0,0.0,0.0,0.0
0.1,18.141738332116454,98.12269660028498,1.8582616678835506,0.019041731835258244,0.30758292111555363
0.2,16.53708160391136,96.46443992229655,3.462918396088645,0.07264168147045001,0.6149464807162133
0.30000000000000004,15.147398714473432,94.99127190194231,4.852601285526572,0.1561268122450424,0.9220897929521925
0.4,13.940873173252983,93.6753472950985,6.059126826747018,0.26552587775978853,1.229011967400325
0.5,12.891095917882785,92.49364806276162,7.108904082117216,0.397447854697244,1.5357121089972026
0.6000000000000001,11.975994192474918,91.42700921192979,8.02400580752508,0.5489849801208374,1.8421893180390754
0.7000000000000001,11.177005837413715,90.45937120512367,8.822994162586284,0.7176346318658609,2.1484426901819944
0.8,10.478435357130301,89.57719953934401,9.521564642869697,0.9012358173622322,2.454471316441655
0.9,9.866946328140735,88.76902921833543,10.133053671859264,1.0979171093812472,2.760274283170233
1.0,9.331157478301966,88.02510381901176,10.668842521698032,1.306053658866163,3.065850670738726
1.1,8.861318216241173,87.33708676534826,11.138681783758825,1.5242314504688814,3.371199556043905
1.2000000000000002,8.449045899425474,86.6978284919156,11.550954100574524,1.7512174070858135,3.676320012071031
1.3,8.087111438976656,86.10117719242486,11.912888561023344,1.9859342461277556,3.981211106772676
1.4000000000000001,7.769263115611675,85.54182388829484,12.230736884388325,2.227439226892782,4.285871903068866
1.5,7.490080855755639,85.01517474959758,12.509919144244364,2.4749061057340107,4.590301458847009
1.6,7.24485498104584,84.51724522841913,12.755145018954162,2.727609752202676,4.894498826961865
1.7000000000000002,7.029484767034895,84.04457178134106,12.970515232965102,2.984912985269793,5.198463055235621
1.8,6.840393156470432,83.5941378833537,13.159606843529565,3.2462552726926823,5.502193186457845
1.9000000000000001,6.674454671468968,83.16331167677826,13.325545328531028,3.5111429942666543,5.805688258385501
2.0,6.528934328664049,82.74979328597264,13.471065671335946,3.779141042267358,6.108947303742923
2.1,6.401435570304445,82.35157002559015,13.59856442969555,4.049865544290246,6.411969350221852
2.2,6.289855779000164,81.96687822727687,13.710144220999833,4.3229775512992505,6.714753420481415
2.3000000000000003,6.192348132861978,81.59417058275972,13.80765186713802,4.598177549678223,7.017298532148118
2.4000000000000004,6.107288806274864,81.23208812426064,13.892711193725132,4.875200681590195,7.319603697815893
2.5,6.033248687847377,80.8794361125874,13.966751312152619,5.1538125748359445,7.621667925046026
2.6,5.968968933688577,80.53516323433851,14.031031066311417,5.433805698926018,7.923490216367213
2.7,5.913339788423082,80.19834361147483,14.086660211576913,5.714996176524217,8.225069569275504
2.8000000000000003,5.865382199689136,79.86816120945399,14.13461780031086,5.9972209898111,8.526404976234403
2.9000000000000004,5.8242318280672185,79.54389629760487,14.175768171932777,6.280335530038311,8.827495424674751
3.0,5.78912511638538,79.22491367017456,14.210874883614613,6.564211445786764,9.128339896994788
3.1,5.759387133819788,78.91065238179661,14.240612866180205,6.848734751599128,9.428937370464084
3.2,5.734420954075489,78.60061678959697,14.265579045924506,7.13380416405449,9.729286814393134
3.3000000000000003,5.713698361453388,78.29436872438609,14.286301638546606,7.419329636643269,10.029387194287125
3.4000000000000004,5.696751711005773,77.99152064158953,14.30324828899422,7.705231068992241,10.329237471457915
3.5,5.683166791374133,77.69172962211745,14.316833208625859,7.991437168832674,10.628836601596333
