time_ms,voltage_mV,m,h,n,INa_uA_cm2,IK_uA_cm2,IL_uA_cm2
0.0,-65.0,0.05293248525724958,0.5961207535084603,0.3176769140606974,-0.0,4.399733467282938,-3.1839
0.025,-65.03014346102401,0.05292286847064809,0.5961223030018157,0.31767585529999137,-0.0,4.388623027935281,-3.192943038307203
0.05,-65.05978582742007,0.052895532924888355,0.5961269085231262,0.31767271036388717,-0.0,4.377581610033522,-3.201835748226021
0.07500000000000001,-65.08893257994455,0.05285258170291302,0.5961345063573382,0.31766752573456125,-0.0,4.366610604895257,-3.210579773983366
0.1,-65.11758919201345,0.05279590943260754,0.5961450337442094,0.31766034718462904,-0.0,4.355711320767658,-3.219176757604036
0.125,-65.14576112772126,0.05272722198619333,0.5961584288667582,0.31765121978493693,-0.0,4.3448849854711185,-3.2276283383163773
0.15000000000000002,-65.17345383993988,0.05264805437376686,0.5961746308397988,0.3176401879123546,-0.0,4.334132748990145,-3.235936151981964
0.17500000000000002,-65.20067276849566,0.0525597869913526,0.596193579698561,0.317627295257563,-0.0,4.323455686011169,-3.2441018305486993
0.2,-65.22742333842254,0.05246366037012974,0.5962152163873979,0.3176125848328344,-0.0,4.312854798407089,-3.2521270015267616
0.225,-65.25371095828943,0.052360788560901476,0.5962394827485822,0.31759609897980023,-0.0,4.302331017668407,-3.2600132874868293
0.25,-65.27954101860006,0.05225217127631646,0.5962663215111919,0.3175778793772035,-0.0,4.291885207280906,-3.2677623055800167
0.275,-65.30491889026327,0.052138704902742326,0.5962956762800867,0.3175579670486318,-0.0,4.281518165049918,-3.2753756670789795
0.30000000000000004,-65.32984992313199,0.05202119248396205,0.5963274915249768,0.3175364023702285,-0.0,4.271230625371348,-3.2828549769395963
0.325,-65.35433944460905,0.05190035276994261,0.5963617125695825,0.3175132250783779,-0.0,4.261023261449579,-3.290201833382716
0.35000000000000003,-65.37839275831793,0.05177682841575093,0.5963982855808887,0.31748847427736226,-0.0,4.2508966874626015,-3.2974178274953787
0.375,-65.40201514283676,0.05165119340820335,0.5964371575584921,0.3174621884469875,-0.0,4.240851460674633,-3.304504542851028
0.4,-65.42521185049374,0.05152395979098033,0.5964782763240438,0.31743440545017504,-0.0,4.230888083496643,-3.3114635551481215
0.42500000000000004,-65.44798810622224,0.051395583752663884,0.5965215905107861,0.3174051625405174,-0.0,4.221007005495212,-3.318296431866672
0.45,-65.47034910647382,0.05126647113641538,0.5965670495531854,0.317374496369795,-0.0,4.211208625350225,-3.3250047319421454
0.47500000000000003,-65.49230001818752,0.05113698242476521,0.5966146036766605,0.3173424429954516,-0.0,4.201493292761906,-3.331590005456256
0.5,-65.51384597781374,0.05100743724818918,0.5966642038874077,0.31730903788802767,-0.0,4.191861310307781,-3.338053793344123
0.525,-65.53499209039104,0.05087811846176434,0.5967158019623217,0.31727431593854766,-0.0,4.182312935250173,-3.3443976271173126
0.55,-65.55574342867418,0.05074927583019746,0.5967693504390134,0.31723831146586123,-0.0,4.1728483812949095,-3.3506230286022527
0.5750000000000001,-65.57610503231197,0.05062112935786495,0.5968248026059253,0.31720105822393563,-0.0,4.163467820301843,-3.3567315096935912
0.6000000000000001,-65.59608190707327,0.05049387229717202,0.5968821124925426,0.3171625894090977,-0.0,4.154171383947947,-3.3627245721219805
0.625,-65.61567902411947,0.05036767386549857,0.5969412348597024,0.3171229376672246,-0.0,4.1449591653437095,-3.3686037072358417
0.65,-65.63490131932232,0.05024268169822772,0.5970021251899992,0.31708213510088123,-0.0,4.135831220603525,-3.374370395796697
0.675,-65.65375369262519,0.05011902406282733,0.5970647396782881,0.3170402132764032,-0.0,4.126787570370908,-3.380026107787556
0.7000000000000001,-65.67224100744664,0.0499968118566544,0.5971290352222843,0.3169972032309243,-0.0,4.117828201299269,-3.3855723022339927
0.7250000000000001,-65.69036809012484,0.049876140409055365,0.5971949694132601,0.3169531354793474,-0.0,4.108953067489073,-3.3910104270374504
0.75,-65.7081397294012,0.04975709110642899,0.5972625005268377,0.31690804002125744,-0.0,4.100162091882182,-3.3963419188203585
0.775,-65.72556067594229,0.04963973285718146,0.5973315875138796,0.31686194634777576,-0.0,4.091455167614194,-3.401568202782687
0.8,-65.74263564189837,0.04952412341192507,0.5974021899914744,0.316814883448355,-0.0,4.082832159325602,-3.406690692569512
0.8250000000000001,-65.7593693004974,0.04941031055283466,0.5974742682340192,0.3167668798175137,-0.0,4.074292904432618,-3.4117107901492187
0.8500000000000001,-65.77576628567319,0.04929833316477099,0.5975477831643968,0.31671796346151,-0.0,4.065837214358509,-3.4166298857019552
0.875,-65.79183119172662,0.04918822219959421,0.5976226963452501,0.3166681619049531,-0.0,4.0574648757262075,-3.4214493575179845
0.9,-65.80756857301856,0.04908000154401219,0.5976989699703497,0.3166175021973535,-0.0,4.0491756515131465,-3.426170571905567
0.925,-65.82298294369336,0.04897368880033007,0.5977765668560573,0.31656601091960973,-0.0,4.0409692821690815,-3.430794883108008
0.9500000000000001,-65.83807877743183,0.04886929598857894,0.5978554504328831,0.316513714190432,-0.0,4.032845486697745,-3.4353236332295496
0.9750000000000001,-65.85286050723256,0.048766830177695085,0.5979355847371374,0.31646063767270294,-0.0,4.024803963703204,-3.4397581521697687
1.0,-65.8673325252205,0.04866629405268929,0.5980169344026749,0.3164068065797736,-0.0,4.016844392401689,-3.444099757566151
1.0250000000000001,-65.88149918248175,0.04856768642408359,0.598099464652733,0.316352245681696,-0.0,4.008966433599794,-3.4483497547445237
1.05,-65.89536478892349,0.04847100268528908,0.598183141291862,0.316296979311391,-0.0,4.001169730639809,-3.452509436677046
1.075,-65.90893361315824,0.04837623522305497,0.5982679306979474,0.31624103137075177,-0.0,3.993453910312993,-3.456580083947472
1.1,-65.92220988241117,0.04828337378562467,0.5983537998143234,0.31618442533668256,-0.0,3.9858185837416618,-3.46056296472335
1.125,-65.93519778244979,0.048192405812785694,0.5984407161419781,0.3161271842670727,-0.0,3.9782633472307842,-3.464459334734937
1.1500000000000001,-65.94790145753497,0.04810331673159705,0.5985286477318487,0.316069330806706,-0.0,3.9707877830899814,-3.46827043726049
1.175,-65.96032501039247,0.04801609022120909,0.5986175631772057,0.31601088719310527,-0.0,3.963391460426592,-3.47199750311774
1.2000000000000002,-65.97247250220404,0.04793070844985919,0.598707431606128,0.315951875262312,-0.0,3.9560739359106747,-3.4756417506612123
1.225,-65.98434795261734,0.04784715228682668,0.5987982226740652,0.31589231645460175,-0.0,3.9488347545126468,-3.479204385785202
1.25,-65.99595533977379,0.047765401491857665,0.5988899065564882,0.3158322318201348,-0.0,3.941673450214304,-3.482686601932136
1.2750000000000001,-66.0072986003536,0.04768543488432505,0.5989824539416279,0.3157716420245422,-0.0,3.934589546693973,-3.4860895801060776
1.3,-66.01838162963725,0.04760723049416699,0.5990758360232994,0.31571056735444814,-0.0,3.9275825579865127,-3.489414488891174
1.3250000000000002,-66.0292082815826,0.04753076569644551,0.5991700244938138,0.3156490277229277,-0.0,3.920651989118877,-3.492662484474779
1.35,-66.03978236891697,0.04745601733118598,0.5992649915369742,0.3155870426749014,-0.0,3.9137973367219203,-3.495834710675092
1.375,-66.05010766324351,0.047382961809994004,0.5993607098211567,0.3155246313924658,-0.0,3.907018089619142,-3.4989322989730525
1.4000000000000001,-66.06018789516106,0.04731157521079789,0.5994571524924762,0.315461812700161,-0.0,3.900313729393053,-3.5019563685483193
1.425,-66.07002675439712,0.04724183336193177,0.5995542931680345,0.3153986050701754,-0.0,3.893683730929797,-3.5049080263191357
