time_ms,voltage_mV,m,h,n
0.0,-65.0,0.05293248525724958,0.5961207535084603,0.3176769140606974
0.025,-64.99989527857984,0.052932518669494014,0.5961207481233313,0.3176769177400438
0.05,-64.99979221460742,0.05293261369274779,0.5961207321044043,0.3176769286768136
0.07500000000000001,-64.99969069132979,0.0529327631547498,0.5961207056466119,0.31767694672598157
0.1,-64.99959060535488,0.05293296067069432,0.596120668933047,0.3176769717508823
0.125,-64.99949186516452,0.052933200556436376,0.5961206221362894,0.3176770036222893
0.15000000000000002,-64.99939438979163,0.05293347775127326,0.5961205654195839,0.3176770422175971
0.17500000000000002,-64.9992981076437,0.052933787749245266,0.5961204989378885,0.31767708742009443
0.2,-64.99920295545594,0.05293412653801618,0.5961204228388044,0.3176771391183179
0.225,-64.99910887736034,0.05293449054449622,0.5961203372634023,0.31767719720547877
0.25,-64.99901582405735,0.05293487658646422,0.5961202423469573,0.31767726157895265
0.275,-64.99892375207914,0.05293528182952664,0.5961201382195996,0.31767733213982746
0.30000000000000004,-64.99883262313419,0.05293570374882464,0.596120025006894,0.31767740879250106
0.325,-64.99874240352433,0.052936140094965466,0.5961199028303527,0.3176774914443249
0.35000000000000003,-64.99865306362612,0.05293658886371196,0.5961197718078913,0.31767758000528706
0.375,-64.9985645774296,0.052937048269015505,0.5961196320542329,0.3176776743877318
0.4,-64.99847692212795,0.052937516719023546,0.5961194836812663,0.3176777745061102
0.42500000000000004,-64.99839007775246,0.052937992794733574,0.5961193267983635,0.31767788027675914
0.45,-64.998304026848,0.05293847523100153,0.5961191615126614,0.31767799161770593
0.47500000000000003,-64.99821875418426,0.05293896289964499,0.5961189879293103,0.31767810844849464
0.5,-64.99813424649888,0.0529394547944097,0.596118806151695,0.31767823069003254
0.525,-64.9980504922691,0.05293995001759438,0.5961186162816293,0.3176783582644545
0.55,-64.99796748150867,0.05294044776815028,0.5961184184195287,0.3176784910950025
0.5750000000000001,-64.99788520558718,0.052940947331093384,0.5961182126645622,0.3176786291059196
