time_ms,soma_mv,middle_mv,tip_mv
3.600000000000017408e+00,-6.497993193859859673e+01,-6.498189258104470412e+01,-6.498252875567507658e+01
3.625000000000017764e+00,-6.497992437343191341e+01,-6.498188294118159547e+01,-6.498251845086511480e+01
3.650000000000018119e+00,-6.497991755203554476e+01,-6.498187402129558166e+01,-6.498250885810919897e+01
3.675000000000018474e+00,-6.497991146146749486e+01,-6.498186580912009447e+01,-6.498249996536280548e+01
3.700000000000018829e+00,-6.497990608894184561e+01,-6.498185829253489487e+01,-6.498249176072442879e+01
3.725000000000019185e+00,-6.497990142182739248e+01,-6.498185145956462350e+01,-6.498248423243433081e+01
3.750000000000019540e+00,-6.497989744764613818e+01,-6.498184529837760692e+01,-6.498247736887323356e+01
3.775000000000019895e+00,-6.497989415407194258e+01,-6.498183979728440818e+01,-6.498247115856106859e+01
3.800000000000020250e+00,-6.497989152892905906e+01,-6.498183494473663302e+01,-6.498246559015565538e+01
3.825000000000020606e+00,-6.497988956019077023e+01,-6.498183072932556570e+01,-6.498246065245147918e+01
3.850000000000020961e+00,-6.497988823597798103e+01,-6.498182713978094682e+01,-6.498245633437841207e+01
3.875000000000021316e+00,-6.497988754455785454e+01,-6.498182416496958069e+01,-6.498245262500047659e+01
3.900000000000021672e+00,-6.497988747434240508e+01,-6.498182179389419844e+01,-6.498244951351462362e+01
3.925000000000022027e+00,-6.497988801388719082e+01,-6.498182001569209376e+01,-6.498244698924943918e+01
3.950000000000022382e+00,-6.497988915188989267e+01,-6.498181881963390083e+01,-6.498244504166399338e+01
3.975000000000022737e+00,-6.497989087718903534e+01,-6.498181819512234370e+01,-6.498244366034660402e+01
4.000000000000023093e+00,-6.497989317876259463e+01,-6.498181813169102838e+01,-6.498244283501357188e+01
4.025000000000023448e+00,-6.497989604572670430e+01,-6.498181861900316392e+01,-6.498244255550807225e+01
4.050000000000023803e+00,-6.497989946733432021e+01,-6.498181964685034018e+01,-6.498244281179889015e+01
4.075000000000024158e+00,-6.497990343297394134e+01,-6.498182120515137683e+01,-6.498244359397928349e+01
4.100000000000024514e+00,-6.497990793216827399e+01,-6.498182328395101592e+01,-6.498244489226576093e+01
4.125000000000024869e+00,-6.497991295457293859e+01,-6.498182587341881344e+01,-6.498244669699697340e+01
4.150000000000025224e+00,-6.497991848997523334e+01,-6.498182896384791718e+01,-6.498244899863247781e+01
4.175000000000025580e+00,-6.497992452829281262e+01,-6.498183254565385880e+01,-6.498245178775167119e+01
4.200000000000025935e+00,-6.497993105957243642e+01,-6.498183660937341699e+01,-6.498245505505256858e+01
4.225000000000026290e+00,-6.497993807398871979e+01,-6.498184114566342373e+01,-6.498245879135069458e+01
4.250000000000026645e+00,-6.497994556184288228e+01,-6.498184614529962744e+01,-6.498246298757798911e+01
4.275000000000027001e+00,-6.497995351356152582e+01,-6.498185159917552767e+01,-6.498246763478162791e+01
4.300000000000027356e+00,-6.497996191969536994e+01,-6.498185749830122404e+01,-6.498247272412292830e+01
4.325000000000027711e+00,-6.497997077091804385e+01,-6.498186383380232201e+01,-6.498247824687626917e+01
4.350000000000028066e+00,-6.497998005802489274e+01,-6.498187059691876755e+01,-6.498248419442796830e+01
4.375000000000028422e+00,-6.497998977193176984e+01,-6.498187777900371032e+01,-6.498249055827518816e+01
4.400000000000028777e+00,-6.497999990367381429e+01,-6.498188537152248045e+01,-6.498249733002485584e+01
