time_ms,rA1,rA2,rAMYG,rCCA,rCCP,rCCR,rCCS,rFEF,rG,rHC,rIA,rIP,rM1,rPCI,rPCIP,rPCM,rPCS,rPFCCL,rPFCDL,rPFCDM,rPFCM,rPFCORB,rPFCPOL,rPFCVL,rPHC,rPMCDL,rPMCM,rPMCVL,rS1,rS2,rTCC,rTCI,rTCPOL,rTCS,rTCV,rV1,rV2,rCC,lA1,lA2,lAMYG,lCCA,lCCP,lCCR,lCCS,lFEF,lG,lHC,lIA,lIP,lM1,lPCI,lPCIP,lPCM,lPCS,lPFCCL,lPFCDL,lPFCDM,lPFCM,lPFCORB,lPFCPOL,lPFCVL,lPHC,lPMCDL,lPMCM,lPMCVL,lS1,lS2,lTCC,lTCI,lTCPOL,lTCS,lTCV,lV1,lV2,lCC
51.5,0.1917494945758251,-0.04174440323653508,0.253215731188679,0.14036586685557736,-0.2799074747772098,0.3355606076603438,0.18560320563499927,0.1996080616876502,-0.2602117469134328,-0.03689774011389751,-0.088817249634337,0.30111187894549535,0.09915662112293394,0.22748240038655193,-0.041415671793322076,-0.18836572818528857,0.0379997729650105,-0.30219788935937075,0.2298190802731789,0.09319319927121358,0.18090481028389466,-0.10364073001109227,0.33044165228660116,0.280014562048915,0.19833634776001985,-0.21080336995962265,-0.02451194807087689,-0.31262564123732234,-0.23810168600456189,0.12988382946208257,0.17197143355097616,0.32903787454550054,-0.12350838546444647,-0.08805636223538527,-0.021467069028516868,-0.2171005118555623,-0.25741282380625197,-0.01649300714914344,-0.19146417001294452,0.12133481353681293,-0.04241538747640358,0.23573989165404066,0.14043411426457691,-0.1299022319168231,0.23467817196449872,0.2155561125948516,-0.08076394165131186,-0.14772155756145852,0.12571171206178522,-0.24964329402536695,-0.20921589148770883,-0.3419408876628363,0.19985414303833746,0.11632626804010578,0.14243272310849892,0.2000841739871176,-0.02821294339052685,0.047380203076054284,-0.2490789257255115,-0.26951280904033603,0.12090936372598579,-0.02025313314887685,0.04734795261479661,0.18422082014414037,0.09453780421009624,0.03754111884724722,0.043985510156450525,-0.1360466978096263,-0.32418505147549126,-0.04545667447632197,-0.19910464399138353,-0.0636900051295716,0.24885945775378665,-0.18747577601496235,-0.30352290497090745,-0.14986875979113629
52.5,0.2737584545377105,-0.056002027881795514,0.3682061089340484,0.2072524260422512,-0.3864934538910838,0.486996826160263,0.2736062743057078,0.28308187198616686,-0.37018827053132564,-0.058672265811134015,-0.12139108736865892,0.4370856470021017,0.13709499367281427,0.32951399853820684,-0.06402886003330109,-0.2605791293183505,0.05395212849162702,-0.4212960232700927,0.32956883619351723,0.13638981818182658,0.2590952352830064,-0.15270526259548162,0.4745487351144365,0.41451670822712394,0.29379441306166126,-0.291461885448503,-0.03817920829736869,-0.42583551846773293,-0.3276407567175924,0.19090725248106127,0.24755678036524292,0.4750942798979888,-0.18035449408242316,-0.1173428594421689,-0.030667107977786583,-0.30827643646064073,-0.3617428538236548,-0.021572069558995422,-0.2734078608966,0.18088305392337287,-0.05535425827560603,0.3453191406408039,0.20139668450720943,-0.18052075468522877,0.3414518241674337,0.3145541995663646,-0.12067312056800401,-0.20885576453596294,0.1734751240694161,-0.3480818288410069,-0.2953451030577251,-0.47862498514270013,0.2823463888521581,0.16908625575684613,0.19989826082459633,0.2966115438179709,-0.0381855708330178,0.06573261664533908,-0.3457251030608687,-0.3828416866816912,0.18198151304620644,-0.028531021107709754,0.07298017042003416,0.25918597296167706,0.13590772131855555,0.054035766044033304,0.07076813406451417,-0.19002927255939564,-0.4494526285122826,-0.06785829850247674,-0.2814063915931523,-0.08938188315827303,0.35978670932212475,-0.2704594893080027,-0.4158626645439963,-0.20391633981328888
53.5,0.2733653748511887,-0.05091787464600994,0.37544604524779335,0.21520204061248482,-0.3695769836113193,0.4953348104694232,0.28343949711805205,0.28040265578188295,-0.36634505678025453,-0.06459089853321978,-0.11398109292350538,0.4447040896452975,0.13200244127957633,0.33455236452390075,-0.06866505621338491,-0.2493567693340794,0.054090270073289815,-0.40754353657436815,0.33069982211225446,0.14045164437122856,0.25972962998919863,-0.15670686472892756,0.47674745787190737,0.4312522010272602,0.3059524099278179,-0.2788500668270709,-0.04096787365689445,-0.40075026240424333,-0.3118096484718873,0.19728433221498948,0.24967351371808055,0.4803560314660638,-0.1834030475832401,-0.10656938013343602,-0.029844479598837154,-0.30431497411092034,-0.3530263810029143,-0.018489906208523272,-0.2715386269923679,0.18986109253534528,-0.048427915085163316,0.3550922476565783,0.20234711706054495,-0.17342657058413613,0.34843345690864863,0.32210192532284865,-0.12555612116104375,-0.20491702108207804,0.16641759157141195,-0.336577365400652,-0.2895752235739992,-0.46532175720623553,0.2783801483156667,0.17263993443379463,0.19572576880876164,0.3091434679859498,-0.03489955547746899,0.06394555728062283,-0.33251234107279093,-0.37825086263642504,0.19296365302215854,-0.027253828954705135,0.07965659125737536,0.2543197105540715,0.13715660693796575,0.05503189601720402,0.08046713454779784,-0.1837311503762718,-0.432083685615581,-0.07025051374539412,-0.2762504242197254,-0.08651278212176391,0.36442763454641847,-0.2716748884110945,-0.39410445591988774,-0.1909659063439996
54.5,0.27275661062640977,-0.044971591845525745,0.3822490434312213,0.22316709448272437,-0.3514681590289491,0.5029342010001406,0.2931166704410809,0.2774625778668728,-0.3604092693047892,-0.06929791018540475,-0.10557102352749918,0.4517035134553374,0.12722719421856263,0.3392375578051639,-0.07210619369638188,-0.236891532397614,0.054809528516508686,-0.3922787535172021,0.331437766697796,0.14475615279210488,0.2602034820997524,-0.15912163250620187,0.4781114504610722,0.44759525450946097,0.3179219789399731,-0.26499015207186305,-0.04273396290198893,-0.37501805961214746,-0.2948397935131277,0.20372451485907273,0.25167327837763503,0.48484562207696974,-0.18477810111276394,-0.09493021758544196,-0.028130927585281094,-0.29851759645990134,-0.342599647418833,-0.014610974745673855,-0.26784637126818744,0.19892601452696348,-0.04069523452804783,0.3645233017073444,0.2033355664969963,-0.16512845097262557,0.35504893559904144,0.32936428854189487,-0.1289686600168529,-0.19952508738778515,0.15953725687381637,-0.3235982336818236,-0.28213218040721294,-0.45031503256851596,0.2741487125332049,0.17633268243385877,0.1916084494421207,0.3214833035318618,-0.03076274368661729,0.06272633517889227,-0.31794648899145295,-0.37157191948979607,0.2040260520715925,-0.025106880665396077,0.08674708428266131,0.24927416664854635,0.1386718349332912,0.056593884953752595,0.09054580661519751,-0.1761611251124565,-0.41342620635005733,-0.07150421573024081,-0.2694358885610603,-0.08259334533064575,0.3686203962402924,-0.2708961850845785,-0.37145953641833446,-0.17701181176149855
55.5,0.27193249556991084,-0.03820496081352933,0.388588840202416,0.23112543254432186,-0.33228487997968403,0.5097560034372536,0.30261122020617115,0.2742701885887527,-0.3525483804746043,-0.07280493585802879,-0.09622027779845485,0.4580512013384038,0.12278755913975944,0.3435507968763178,-0.07437040519025151,-0.22328115064488854,0.05609934031551862,-0.3756525509856098,0.3317750320150593,0.1492884367738227,0.26051406285093376,-0.16000112575950873,0.47861657274255165,0.4635031835251864,0.3296723094645141,-0.2499867256439882,-0.043495257018407174,-0.3487065463604512,-0.2768355204783345,0.2102088983083102,0.2535487269561705,0.48853143407392896,-0.18454547761343953,-0.08248431275150414,-0.02555366133817218,-0.29101594196952163,-0.3306097586111899,-0.009966274474078895,-0.26244644104215753,0.20805340030374672,-0.03220039508520524,0.37358260609833355,0.204358828455269,-0.15570253250536897,0.3612742637324252,0.33631747832905295,-0.1309469472956179,-0.19276600156811263,0.1528635151190468,-0.30927457817201526,-0.2731383127411404,-0.433786662036138,0.26966592011832724,0.1801523772533277,0.18756273833776693,0.33359959639548353,-0.025809858891121213,0.06207266135601447,-0.3021496862834462,-0.3629780368858199,0.2151410702938205,-0.02211812501559203,0.0942260391580976,0.24406804321529418,0.14044682794803212,0.058708441263246536,0.10097325804648302,-0.16739849210285412,-0.3936176480638916,-0.07164631018078296,-0.26107942978024457,-0.07766943310318715,0.37234528059173133,-0.2682371017079562,-0.34802099300135425,-0.16213149233506036
56.5,0.27089415012627915,-0.03066003052973441,0.3944395903553276,0.23905486451894845,-0.31213256675786194,0.5157616840081958,0.3118964982488217,0.27083520241941655,-0.34292136260861295,-0.07513003065957269,-0.08598687188221521,0.46371497717341315,0.11870006956211074,0.34747390475361445,-0.075481403923772,-0.20861690434807217,0.05794728614474929,-0.35780064495126634,0.33170517262147114,0.15403314979375943,0.26065914218820085,-0.15940252072558403,0.4782406734013068,0.47893226201937056,0.3411723442691455,-0.23393637047671012,-0.04327363028724416,-0.32187408053050254,-0.25789138530205,0.21671855374780952,0.25529283868069275,0.491383010856736,-0.18277559699203788,-0.06928818677782413,-0.022142016106823002,-0.28193661495325945,-0.31719325542946464,-0.004587984010496521,-0.2554522435198188,0.2172188029944408,-0.02298720999548563,0.3822404537023775,0.2054134842604088,-0.1452225048095742,0.3670857809035404,0.34293791608219815,-0.13153355748971124,-0.18472439170418836,0.14642464746562983,-0.29372599475310446,-0.2627103659749172,-0.4158989005404048,0.2649469222940428,0.18408660884143535,0.1836047831797864,0.3454606080489312,-0.020076701257433313,0.06197993550260404,-0.28523343731776113,-0.3526325272959974,0.22628106387402497,-0.01831745383386656,0.10206761044953891,0.23872100423622972,0.14247422474277266,0.06136067609396854,0.11171883908297768,-0.1575202540098526,-0.3727794683198328,-0.07070778486832488,-0.25129307689400726,-0.07178796079756568,0.37558337444179024,-0.26381231669740546,-0.32387026262520074,-0.14639741145332982
57.5,0.26964349791148734,-0.02237877931138716,0.3997758944462343,0.2469331932071685,-0.2911053297413307,0.520913372808104,0.3209458276871015,0.2671684856963732,-0.3316776512966749,-0.07629688686845883,-0.07492718956891692,0.46866333876604205,0.11497942725155992,0.3509893850782276,-0.07546770869794749,-0.19298373389177118,0.06033926779349226,-0.3388446997214427,0.3312230111883451,0.15897455119000642,0.26063703664113713,-0.1573871984373084,0.47696384720814444,0.49383760527828346,0.352390740676174,-0.21692800772595405,-0.042094494812762964,-0.2945710930681127,-0.2380929483266217,0.22323451693355573,0.25689895636735455,0.49337128398531294,-0.17954194627727324,-0.05539589729492148,-0.0179270848291382,-0.2714001931289053,-0.30247609974124956,0.0014908361417676674,-0.2469739372959711,0.22639774880821287,-0.013098930672476184,0.3904671951199413,0.20649597238247633,-0.13375926161915264,0.3724602765895766,0.3492023094749639,-0.13077612818256662,-0.1754827054221215,0.14024765934701042,-0.277061916869376,-0.2509588570162331,-0.3967959513067961,0.2600081427329549,0.1881227248420791,0.17975035948273485,0.35703431461606605,-0.013599817485495241,0.062441399305177926,-0.26729921123751843,-0.3406879543739082,0.23741836290498047,-0.01373631892537366,0.11024578298192718,0.23325359000244134,0.14474594212868166,0.06453427331916986,0.12275214773315204,-0.14660065032440892,-0.351018801708075,-0.06872302826530548,-0.2401835159445156,-0.06499639582090208,0.37831668744494673,-0.2577355540743813,-0.29907861867839786,-0.12987725005235734
58.5,0.2681833210805477,-0.013402970050527024,0.40457296272542564,0.25473822699337856,-0.26928706432073235,0.5251741062178159,0.32973252778719997,0.263282036773001,-0.318956542475559,-0.07633404440470032,-0.06309580920954058,0.47286557930820344,0.11163846130777758,0.35408050324013135,-0.07436188949119435,-0.17646045859843634,0.06325968205047386,-0.3188934945477426,0.3303247135954714,0.16409654349032138,0.2604466267210294,-0.15401947032271596,0.47476870595172393,0.5081732464569728,0.36329591540753886,-0.19904334350421687,-0.03998620616790237,-0.26684125599408504,-0.21751756232940508,0.2297377481268021,0.25836082603179544,0.4944688083750239,-0.1749197412652243,-0.04085910084145791,-0.012941378599319505,-0.2595205938656438,-0.28657392398517034,0.008236505305433335,-0.23711744557537878,0.23556573725480154,-0.0025780811053404793,0.39823330392762885,0.20760263426968306,-0.12138075418756242,0.3773750797478778,0.3550877129209713,-0.1287262390478689,-0.16512061005702602,0.13435822129516978,-0.25938225165863615,-0.23798771982058597,-0.3766055948338244,0.25486722675541407,0.192247878682103,0.1760147890126543,0.3682884047105696,-0.006416214069535102,0.06344830362824354,-0.2484391303029551,-0.32728573732986355,0.24852525017302343,-0.008407385666436644,0.11873445272721898,0.22768712671797475,0.1472531751169511,0.06821165196175792,0.13404302462304674,-0.13471095334664132,-0.32843004646688756,-0.06572920861239007,-0.22785165551650383,-0.05734227313529587,0.3805282888876714,-0.25011807094370087,-0.27370849887570864,-0.11263415133223505
59.5,0.2665172614473843,-0.0037739614991325584,0.4088067305126529,0.26244779385897166,-0.24675258969162223,0.5285080044828872,0.33822991125574964,0.2591889582272992,-0.30488702869463397,-0.075274063105391,-0.05054537572630825,0.4762920447933482,0.1086881286713115,0.35673137239133873,-0.07219984890750372,-0.15912009820114978,0.06669164930379318,-0.2980441201459911,0.32900786274780736,0.16938272752045305,0.2600873724854457,-0.14936542234514583,0.47164066226324913,0.5218922122094903,0.3738560249518979,-0.18035732179622493,-0.03697961435889599,-0.23872249164637963,-0.19623516474946487,0.23620919876210889,0.2596725708594963,0.49465000791564345,-0.16898476993914563,-0.02572713985366159,-0.007218459459708953,-0.24640473399015445,-0.26959246774917334,0.015614949242067189,-0.22598370199871107,0.2446982548967355,0.008533647851094199,0.4055094520622301,0.20872975005863786,-0.10815182157454117,0.38180816881250157,0.3605715947100837,-0.12543838814227484,-0.15371465414857227,0.12878037860702274,-0.24077788187124174,-0.22389414506334973,-0.3554408180063039,0.24954297969950212,0.19644900125520628,0.17241287857890716,0.3791903021548953,0.0014369069593844614,0.06499005032947322,-0.22873670191308224,-0.3125561123239724,0.2595739416749447,-0.002364224951622063,0.12750745633441868,0.22204361701016967,0.14998649410906278,0.0723741195798485,0.14556154104248603,-0.12191925137242983,-0.30509634748938713,-0.06176563854559482,-0.21439236563368347,-0.04887289651934405,0.382202396558025,-0.24106750633829135,-0.24781468453614233,-0.09472700299931372
60.5,0.2646497283167322,0.0064674646609378965,0.41245398024866364,0.2700397572945553,-0.22356870676773838,0.5308804369451241,0.3464113226912782,0.2549034208505648,-0.28958791216905094,-0.07315290740013265,-0.037326524283851144,0.4789142968168908,0.10613757556235368,0.3589270441466901,-0.06902014502999486,-0.14103021728316528,0.0706171348236779,-0.27638317583812166,0.327271523063036,0.17481643735296218,0.2595593369920789,-0.14349193785414832,0.4675682252006509,0.5349465995844781,0.38403906785220726,-0.1609386356390034,-0.033107661941538885,-0.21024783857137375,-0.1743090316374979,0.24262983532911978,0.2608287436958276,0.4938914478812805,-0.1618124532064267,-0.010047131106252704,-0.0007926247957046404,-0.2321524232567212,-0.251628140911839,0.02359189295639792,-0.2136683832938735,0.2537707982839691,0.02019546735241723,0.41226659566486895,0.20987354245432366,-0.09413414799116383,0.3857382670343742,0.365631910959784,-0.12096905194417444,-0.14133799387133367,0.12353639742042329,-0.2213313490318467,-0.20876863987248234,-0.33340138435066147,0.24405529664422282,0.20071284714930546,0.16895888307221427,0.3897072159568415,0.009922371144368228,0.06705435265807294,-0.20826756093791624,-0.29661849118117356,0.27053657008281357,0.004358959010288918,0.13653859695859066,0.21634564220328284,0.15293590472815569,0.07700201533474506,0.15727797331132642,-0.10829035265081936,-0.2810909610310806,-0.056873182570284064,-0.19989442445753922,-0.039635149813842266,0.3833245018349127,-0.23068704017761865,-0.22144534540560556,-0.07621074365546966
